code	name	currentratio	quickratio	cashratio	c_name	currentratio_mean	quickratio_mean	cashratio_mean
601015	陕西黑猫	0.8931999802589417	0.7197999954223633	29.925399780273438	煤炭行业	1.829551324248314	1.524159457635235	62.175013065338135
600643	爱建集团	0.6394000053405762	0.637499988079071	43.80039978027344	金融行业	1.3984599709510803	1.3906599640846253	91.68396034240723
300058	蓝色光标	1.2806999683380127	1.267899990081787	43.644901275634766	印刷包装	2.3713300228118896	2.0642850145697595	68.49968466758727
000532	华金资本	0.5839999914169312	0.41260001063346863	23.00860023498535	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
000021	深科技	1.1642999649047852	1.0058000087738037	67.885498046875	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
600876	洛阳玻璃	0.6783999800682068	0.4596000015735626	9.018899917602539	玻璃行业	1.5742842131539394	1.2736473820711438	47.72536900168971
000810	创维数字	1.5598000288009644	1.2537000179290771	21.079999923706055	电子器件	3.2843177007371875	2.7697102116281482	96.40055774993637
600510	黑牡丹	2.3526999950408936	1.5817999839782715	40.14619827270508	房地产	2.3749211862430735	0.9847728795671867	57.354560161041
300147	香雪制药	0.9108999967575073	0.7906000018119812	35.62179946899414	生物制药	3.4337355237650242	2.8237473826463284	127.16375156609635
002182	云海金属	0.9592000246047974	0.6238999962806702	7.250800132751465	有色金属	2.0638089522496976	1.4554716408697528	70.95576739311218
002336	人人乐	1.1328999996185303	0.7042999863624573	30.458499908447266	商业百货	1.8679153900388832	1.4780703186579458	77.51979636098002
603129	春风动力	1.2857999801635742	0.8654999732971191	65.6636962890625	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
002731	萃华珠宝	1.5413999557495117	0.5227000117301941	20.58930015563965	服装鞋类	2.5800673353428745	1.7094898083988501	72.06705722030328
000539	粤电力A	0.6406999826431274	0.5562000274658203	27.585800170898438	电力行业	1.1854661006038472	1.0848542514999033	59.70712847830885
603799	华友钴业	1.0343999862670898	0.6396999955177307	22.02090072631836	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
600618	氯碱化工	0.6730999946594238	0.5899999737739563	20.056499481201172	化工行业	2.529101399274973	2.0832090725848724	84.44795861611
002600	领益智造	1.1778000593185425	0.9710999727249146	23.66900062561035	电子器件	3.2843177007371875	2.7697102116281482	96.40055774993637
600104	上汽集团	1.179800033569336	1.0155999660491943	55.657100677490234	汽车制造	2.3937068955571044	2.0345823630398394	109.02280992620132
600774	汉商集团	0.1527000069618225	0.13609999418258667	11.023799896240234	商业百货	1.8679153900388832	1.4780703186579458	77.51979636098002
600694	大商股份	1.1655999422073364	0.9697999954223633	62.064701080322266	商业百货	1.8679153900388832	1.4780703186579458	77.51979636098002
600385	山东金泰	1.565600037574768	1.565600037574768	148.22000122070312	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
600067	冠城大通	1.860200047492981	0.6798999905586243	48.37220001220703	房地产	2.3749211862430735	0.9847728795671867	57.354560161041
000559	万向钱潮	1.2325999736785889	0.9688000082969666	38.03739929199219	汽车制造	2.3937068955571044	2.0345823630398394	109.02280992620132
600567	山鹰纸业	0.8258000016212463	0.5727999806404114	14.602499961853027	造纸行业	1.9475499826172988	1.5517958458513021	61.61732106407484
600069	银鸽投资	0.8928999900817871	0.7373999953269958	47.22019958496094	造纸行业	1.9475499826172988	1.5517958458513021	61.61732106407484
601366	利群股份	0.5519999861717224	0.23260000348091125	10.363900184631348	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
000768	中航飞机	1.4661999940872192	0.8177000284194946	29.915199279785156	飞机制造	2.0574571575437273	1.354814276099205	47.544557094573975
002081	金螳螂	1.3787000179290771	1.3653000593185425	10.66759967803955	建筑建材	1.7080761458386073	1.2502590891989795	36.57006589391015
603031	安德利	0.590499997138977	0.2320999950170517	11.397100448608398	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
600477	杭萧钢构	1.4003000259399414	0.4661000072956085	11.450499534606934	钢铁行业	1.1896117618855309	0.8320764723215618	32.99517436588512
600629	华建集团	1.2319999933242798	0.7049000263214111	26.414600372314453	玻璃行业	1.5742842131539394	1.2736473820711438	47.72536900168971
