code	name	currentratio	quickratio	cashratio	
002161	远望谷	1.7621999979019165	1.1527999639511108	46.13159942626953	
300036	超图软件	2.8505001068115234	2.8285999298095703	111.4635009765625	
002866	传艺科技	3.1842000484466553	2.4890999794006348	87.14530181884766	
002214	大立科技	3.9872000217437744	2.256999969482422	35.26900100708008	
002522	浙江众成	3.351300001144409	2.9742000102996826	160.7008056640625	
000025	特力A	1.423200011253357	1.3909000158309937	53.19599914550781	
300633	开立医疗	4.515399932861328	3.640899896621704	183.55630493164062	
002852	道道全	4.001100063323975	3.4823999404907227	269.1451110839844	
300437	清水源	2.4730000495910645	1.797700047492981	74.97090148925781	
300217	东方电热	3.3471999168395996	2.6092000007629395	28.119699478149414	
600727	鲁北化工	1.8394999504089355	1.5944000482559204	85.1270980834961	
603660	苏州科达	3.848900079727173	2.7676000595092773	67.14869689941406	
300225	金力泰	3.2720000743865967	2.786900043487549	40.27040100097656	
300078	思创医惠	3.0826001167297363	2.414099931716919	89.29199981689453	
300037	新宙邦	2.81850004196167	2.3629000186920166	54.274898529052734	
603998	方盛制药	2.2836999893188477	1.7762000560760498	134.05360412597656	
002821	凯莱英	3.734600067138672	3.2750000953674316	259.26690673828125	
000711	京蓝科技	2.953000068664551	1.7372000217437744	89.35469818115234	
300055	万邦达	3.5678999423980713	2.310699939727783	108.09809875488281	
000581	威孚高科	3.0445001125335693	2.688800096511841	40.831600189208984	
300031	宝通科技	1.7962000370025635	1.5845999717712402	66.26480102539062	
002568	百润股份	1.5667999982833862	1.4184000492095947	110.36920166015625	
600826	兰生股份	3.411099910736084	3.2739999294281006	144.8094940185547	
300554	三超新材	3.353600025177002	2.6022000312805176	13.799400329589844	
300569	天能重工	3.85260009765625	3.2330000400543213	106.22010040283203	
603519	立霸股份	3.807499885559082	3.022200107574463	106.34559631347656	
002799	环球印务	2.104300022125244	1.635200023651123	54.825199127197266	
603589	口子窖	3.0511999130249023	1.804800033569336	58.923301696777344	
002098	浔兴股份	2.1668999195098877	1.2482000589370728	24.5939998626709	
601858	中国科传	4.495800018310547	3.8928000926971436	336.2742919921875	
300246	宝莱特	2.8257999420166016	2.283400058746338	93.31510162353516	
002572	索菲亚	2.5985000133514404	2.378700017929077	158.2082061767578	
300432	富临精工	2.2890000343322754	2.030600070953369	55.53409957885742	
002409	雅克科技	2.066499948501587	1.635699987411499	81.49729919433594	
002773	康弘药业	5.885700225830078	5.616300106048584	417.88720703125	
002507	涪陵榨菜	3.0371999740600586	2.3297998905181885	19.936500549316406	
300556	丝路视觉	3.871500015258789	3.744499921798706	120.30870056152344	
000738	航发控制	2.6373000144958496	2.1352999210357666	65.34100341796875	
300195	长荣股份	2.9339001178741455	2.5759999752044678	176.96319580078125	
